name	latitude	longitude	weight
Colonsay, SK	51.9667	-105.8667	1
Sylmar	34.307799999999986	-118.4493	6
Orlando	28.451699999999988	-81.4653	13
Denver	39.676199999999994	-104.887	3
Algonquin	42.161699999999996	-88.3285	1
Perris	33.7825	-117.2287	6
Sebastopol	38.4032	-122.86330000000001	1
San Marcos	33.143400000000014	-117.1661	27
Parksville, BC	49.32329999999999	-124.3227	4
Streamwood	42.02090000000001	-88.1782	1
Comox, BC	49.672799999999995	-124.947	9
Happy Valley, NL	53.30000000000001	-60.3	1
Lombard	41.877999999999986	-88.0163	1
Martinsville	36.72659999999999	-79.8667	3
Sioux City	42.52369999999999	-96.4363	1
Metairie	29.984100000000012	-90.1529	1
Fallbrook	33.3989	-117.2957	12
South Yarmouth	41.6713	-70.1916	1
Cleveland	41.47370000000001	-81.5798	6
Moreno Valley	33.92240000000001	-117.2476	1
Burbank	34.17670000000001	-118.31049999999999	25
Evanston	42.05619999999999	-87.7011	1
Yorba Linda	33.89240000000001	-117.78790000000001	1
Overland Park	38.8998	-94.7052	1
Marietta	33.95259999999999	-84.5499	2
Buffalo Grove	42.1695	-87.9588	3
Playa Del Rey	33.94540000000001	-118.43979999999999	1
Rancho Santa Margarita	33.6199	-117.61189999999999	10
Canton	40.83760000000001	-81.3935	1
Pleasanton	37.654300000000006	-121.8552	2
Lawndale	33.88720000000001	-118.3548	1
Newport	39.091499999999996	-84.4958	3
Davis	38.4829	-121.63980000000001	1
New Haven	41.30770000000001	-72.9268	2
Glendale	34.17179999999999	-118.2915	7
Maple Ridge, BC	49.20070000000001	-122.66409999999999	1
Gibsons, BC	49.400000000000006	-123.5	1
Minneapolis	44.82669999999999	-93.3132	1
Morris Plains	40.84469999999999	-74.4781	1
Costa Mesa	33.64859999999999	-117.9186	1
Nelson, BC	49.48320000000001	-117.3031	1
Elizabethtown	40.168000000000006	-76.6093	4
San Dimas	34.106599999999986	-117.815	1
Omaha	41.2987	-96.0467	1
Hayward	37.668800000000005	-122.08080000000001	1
Agoura Hills	34.1267	-118.76480000000001	2
London, ON	42.96270000000001	-81.2948	1
Brea	33.92689999999999	-117.8612	2
Brentwood	37.87540000000001	-121.6868	21
