iata,name,city,state,country,latitude,longitude
Spring Valley,Spring Valley,Spring Valley,Spring Valley,Spring Valley,41.1163,-74.046
Scottsdale,Scottsdale,Scottsdale,Scottsdale,Scottsdale,33.4912,-111.9237
Temecula,Temecula,Temecula,Temecula,Temecula,33.53,-117.1035
"Toronto, ON","Toronto, ON","Toronto, ON","Toronto, ON","Toronto, ON",43.6525,-79.3686
"Langley, BC","Langley, BC","Langley, BC","Langley, BC","Langley, BC",49.164,-122.656
Alaska Peninsula Nwr,Alaska Peninsula Nwr,Alaska Peninsula Nwr,Alaska Peninsula Nwr,Alaska Peninsula Nwr,57.1588,-154.08
Sheboygan Falls,Sheboygan Falls,Sheboygan Falls,Sheboygan Falls,Sheboygan Falls,43.7432,-87.8511
San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,37.7441,-122.4839
Salt Lake City,Salt Lake City,Salt Lake City,Salt Lake City,Salt Lake City,40.7608,-111.8911
"Airdrie, AB","Airdrie, AB","Airdrie, AB","Airdrie, AB","Airdrie, AB",51.2816,-114.0153
"Kelowna, BC","Kelowna, BC","Kelowna, BC","Kelowna, BC","Kelowna, BC",49.842,-119.4903
Sherman Oaks,Sherman Oaks,Sherman Oaks,Sherman Oaks,Sherman Oaks,34.1463,-118.4293
Hood River,Hood River,Hood River,Hood River,Hood River,45.6119,-121.5866
Aurora,Aurora,Aurora,Aurora,Aurora,39.7294,-104.8319
Saint Paul,Saint Paul,Saint Paul,Saint Paul,Saint Paul,44.8925,-93.111
West Covina,West Covina,West Covina,West Covina,West Covina,34.0699,-117.9421
Beaverton,Beaverton,Beaverton,Beaverton,Beaverton,45.5222,-122.8593
Excelsior,Excelsior,Excelsior,Excelsior,Excelsior,44.8989,-93.6257
Fort Mill,Fort Mill,Fort Mill,Fort Mill,Fort Mill,35.0074,-80.9451
Issaquah,Issaquah,Issaquah,Issaquah,Issaquah,47.5595,-122.0092
Corona,Corona,Corona,Corona,Corona,33.8753,-117.5664
Van Nuys,Van Nuys,Van Nuys,Van Nuys,Van Nuys,34.2023,-118.4468
Bend,Bend,Bend,Bend,Bend,44.0744,-121.2574
Coppell,Coppell,Coppell,Coppell,Coppell,32.9588,-96.9812
Lake Oswego,Lake Oswego,Lake Oswego,Lake Oswego,Lake Oswego,45.4093,-122.6799
"Edmonton, AB","Edmonton, AB","Edmonton, AB","Edmonton, AB","Edmonton, AB",53.4782,-113.5873
Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,33.4201,-86.7867
Springfield,Springfield,Springfield,Springfield,Springfield,37.219,-93.3176
United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,51.4078,-0.2647
"Ottawa, ON","Ottawa, ON","Ottawa, ON","Ottawa, ON","Ottawa, ON",45.3594,-75.7523
West Hollywood,West Hollywood,West Hollywood,West Hollywood,West Hollywood,34.0943,-118.3811
Mountain View,Mountain View,Mountain View,Mountain View,Mountain View,37.4192,-122.0574
